tx_id,date,product,base_cost,competitor_price,price,promotion,marketing,seasonality,day_of_week,elasticity,demand,revenue
1,2023-03-26,P5,34.85,51.58,55.66,0,1207.39,3,6,-0.452,17.1,951.79
2,2023-03-15,P5,44.55,66.3,77.34,0,493.56,3,2,-2.334,5.99,463.27
3,2023-04-13,P13,37.53,52.46,50.6,0,1048.37,4,3,-2.676,3.13,158.38
4,2023-01-21,P16,43.84,64.51,63.87,0,1570.34,1,5,-0.25,109.39,6986.74
5,2023-05-22,P20,49.94,73.61,83.38,0,708.41,5,0,-1.154,14.09,1174.82
6,2023-04-24,P6,22.11,23.91,25.13,0,1437.47,4,0,-1.102,65.53,1646.77
7,2023-09-17,P7,20.02,21.16,19.48,0,1074.94,9,6,-1.321,51.43,1001.86
8,2023-05-21,P3,13.05,18.39,16.65,0,1102.16,5,6,-1.04,42.08,700.63
9,2023-04-06,P13,25.58,25.19,28.87,0,619.86,4,3,-1.37,39.03,1126.8
10,2023-04-11,P20,38.51,45.21,38.87,0,1791.63,4,1,-0.616,32.65,1269.11
11,2023-09-18,P19,44.4,41.1,37.46,0,1174.67,9,0,-2.073,15.81,592.24
12,2023-12-26,P11,15.44,19.72,22.28,0,553.31,12,1,-1.008,39.71,884.74
13,2023-07-17,P7,5.93,8.21,8.42,0,521.7,7,0,-1.346,19.21,161.75
14,2023-10-13,P20,5.94,6.85,7.72,0,162.23,10,4,-1.734,12.49,96.42
15,2023-08-02,P12,40.97,50.02,47.0,0,502.76,8,2,-2.41,10.36,486.92
16,2023-10-08,P10,37.16,42.0,45.94,0,1785.3,10,6,-0.66,93.91,4314.23
17,2023-02-26,P12,33.8,32.79,37.99,0,1620.99,2,6,-0.581,68.77,2612.57
18,2023-03-13,P1,37.67,35.37,34.63,0,1645.07,3,0,-0.381,62.07,2149.48
19,2023-10-10,P20,16.28,17.44,16.38,0,1071.72,10,1,-2.296,22.08,361.67
20,2023-04-15,P2,44.89,45.36,47.05,0,611.69,4,5,-1.896,27.66,1301.4
21,2023-04-16,P20,22.39,28.64,26.52,1,945.15,4,6,-2.162,17.79,471.79
22,2023-08-01,P4,46.42,50.33,41.09,0,727.92,8,1,-2.482,28.05,1152.57
23,2023-09-08,P20,44.26,47.29,41.34,1,1230.2,9,4,-0.313,91.16,3768.55
24,2023-08-17,P6,26.9,33.55,26.51,1,974.56,8,3,-2.336,20.46,542.39
25,2023-01-25,P17,40.76,40.49,47.25,0,241.04,1,2,-2.77,11.07,523.06
26,2023-04-29,P7,29.77,36.25,29.03,0,876.92,4,5,-2.612,20.73,601.79
27,2023-07-20,P8,23.33,31.08,34.06,0,1999.15,7,3,-0.555,98.27,3347.08
28,2023-01-08,P14,48.64,58.53,53.44,0,815.75,1,6,-0.375,44.91,2399.99
29,2023-09-09,P15,8.57,9.68,8.32,1,729.07,9,5,-2.561,35.95,299.1
30,2023-01-25,P6,10.68,14.12,13.21,1,646.3,1,2,-0.213,151.82,2005.54
31,2023-12-21,P14,38.66,37.72,35.65,0,1016.75,12,3,-0.507,93.31,3326.5
32,2023-02-01,P15,15.6,15.34,13.62,0,1244.42,2,2,-2.85,15.23,207.43
33,2023-02-22,P5,13.08,18.03,17.25,0,1262.92,2,2,-1.265,34.91,602.2
34,2023-12-05,P8,47.71,56.96,53.04,0,1339.69,12,1,-1.938,42.16,2236.17
35,2023-01-13,P11,36.56,35.89,36.1,0,1714.69,1,4,-1.859,36.93,1333.17
36,2023-05-26,P10,30.79,35.88,34.4,0,352.29,5,4,-0.738,58.2,2002.08
37,2023-01-07,P13,31.46,35.0,29.01,0,1574.2,1,5,-2.34,17.58,510.0
38,2023-09-27,P17,12.87,12.16,11.85,0,1387.35,9,2,-2.63,24.96,295.78
39,2023-07-03,P15,22.66,30.3,35.11,0,1851.14,7,0,-2.29,21.37,750.3
40,2023-03-01,P16,42.93,51.02,53.14,0,1103.17,3,2,-1.047,44.44,2361.54
41,2023-07-10,P6,8.44,9.12,10.29,0,1126.01,7,0,-2.41,13.03,134.08
42,2023-06-15,P19,24.62,33.01,26.77,0,1612.18,6,3,-2.382,15.98,427.78
43,2023-05-28,P13,11.27,11.47,11.14,0,1511.82,5,6,-1.786,21.45,238.95
44,2023-07-01,P13,21.41,31.72,34.63,0,231.5,7,5,-2.967,11.38,394.09
45,2023-08-01,P7,8.68,8.03,9.41,0,1754.5,8,1,-1.765,36.2,340.64
46,2023-08-24,P4,33.87,40.16,46.43,0,1849.6,8,3,-2.558,27.96,1298.18
47,2023-09-10,P19,5.0,7.25,8.4,0,1332.16,9,6,-1.271,20.68,173.71
48,2023-05-08,P16,33.06,30.15,32.85,0,1797.29,5,0,-2.08,24.76,813.37
49,2023-05-04,P3,30.3,43.99,49.64,0,1494.17,5,3,-2.535,16.58,823.03
50,2023-03-23,P19,22.74,22.81,21.04,0,490.47,3,3,-1.413,45.02,947.22
51,2023-04-26,P20,31.63,29.88,27.56,0,1280.66,4,2,-2.356,31.25,861.25
52,2023-09-02,P2,44.76,43.47,51.72,0,1049.98,9,5,-1.503,42.01,2172.76
53,2023-01-20,P6,38.72,37.94,38.77,0,1712.34,1,4,-0.81,49.15,1905.55
54,2023-07-15,P15,24.32,35.59,39.39,0,412.65,7,5,-1.153,19.99,787.41
55,2023-11-12,P20,34.78,38.87,45.27,0,1094.47,11,6,-0.514,107.74,4877.39
56,2023-05-12,P15,42.08,39.16,43.18,0,1877.96,5,4,-0.249,149.24,6444.18
57,2023-06-07,P3,13.32,14.92,14.28,0,511.15,6,2,-2.423,26.05,371.99
